,time,glacier_number,glacier_name,katabaticity,u_obs,u_lin_response,u_lin_regression,u_era5,u_lin_response_era5,sensitivity,delay
1242,47,5,lirung,0.3002834415214933,-0.3733844372708546,0,0,-0.1822067753691975,-0.519058203902792,0,0
1243,48,5,lirung,0.3002834415214933,-0.3844648835421406,0,0,-0.21560023102885983,-0.3774208080514926,0,0
1244,49,5,lirung,0.3002834415214933,-0.2907625934658047,0,0,-0.29866850313768833,-0.06632998055034205,0,0
1245,50,5,lirung,0.3002834415214933,0.03278854397675346,0,0,-0.06138814440319218,0.17271321884395863,0,0
1246,51,5,lirung,0.3002834415214933,0.35128483065928295,0,0,0.2022401150355515,0.31076208006144745,0,0
1247,52,5,lirung,0.3002834415214933,0.6290339357230578,0,0,0.39704705223472736,0.43394991680563894,0,0
1248,53,5,lirung,0.3002834415214933,0.66752879201194,0,0,0.5548112307497535,0.5357066823285545,0,0
1249,54,5,lirung,0.3002834415214933,0.7044249272776405,0,0,0.6432419751801426,0.6062549213386328,0,0
1250,55,5,lirung,0.3002834415214933,0.6826079653882148,0,0,0.6645189981723381,0.6138268293536666,0,0
1251,56,5,lirung,0.3002834415214933,0.5166193897478978,0,0,0.5777620350238335,0.5522218053096917,0,0
1252,57,5,lirung,0.3002834415214933,0.35293969661053126,0,0,0.44285735429803696,0.43482220201852445,0,0
1253,58,5,lirung,0.3002834415214933,0.15565402426760688,0,0,0.25265702734189444,0.280214757801861,0,0
1254,59,5,lirung,0.3002834415214933,0.07546171657529943,0,0,0.029042925912258877,0.13873459943734703,0,0
1255,60,5,lirung,0.3002834415214933,-0.06479469368111102,0,0,-0.18153400285837218,0.008708957767747013,0,0
1256,61,5,lirung,0.3002834415214933,-0.19030751419393155,0,0,-0.28669915271797103,-0.09223988058987581,0,0
1257,62,5,lirung,0.3002834415214933,-0.2208844372708545,0,0,-0.31797317738107234,-0.15427875539343042,0,0
1258,63,5,lirung,0.3002834415214933,-0.2683844372708546,0,0,-0.32272548559141473,-0.21125166123210956,0,0
1259,64,5,lirung,0.3002834415214933,-0.2847305911170085,0,0,-0.31414909703479704,-0.2701794798469029,0,0
1260,65,5,lirung,0.3002834415214933,-0.31503917787908353,0,0,-0.30233305886067957,-0.31664479690062686,0,0
1261,66,5,lirung,0.3002834415214933,-0.30929789880931613,0,0,-0.30075712515925146,-0.35217727733933213,0,0
1262,67,5,lirung,0.3002834415214933,-0.3380088363093161,0,0,-0.2795954255579167,-0.3884474628978371,0,0
1263,68,5,lirung,0.3002834415214933,-0.3462119613093161,0,0,-0.25657643053825596,-0.41266027540617695,0,0
1264,69,5,lirung,0.3002834415214933,-0.39816508630931613,0,0,-0.2289241351014325,-0.44752958115436525,0,0
1265,70,5,lirung,0.3002834415214933,-0.3839072738093161,0,0,-0.21504796920843572,-0.4796978078017878,0,0
1266,71,5,lirung,0.3002834415214933,-0.3733844372708546,0,0,-0.1822067753691975,-0.519058203902792,0,0
1267,72,5,lirung,0.3002834415214933,-0.3844648835421406,0,0,-0.21560023102885983,-0.3774208080514926,0,0
1268,73,5,lirung,0.3002834415214933,-0.2907625934658047,0,0,-0.29866850313768833,-0.06632998055034205,0,0
1269,74,5,lirung,0.3002834415214933,0.03278854397675346,0,0,-0.06138814440319218,0.17271321884395863,0,0
1270,75,5,lirung,0.3002834415214933,0.35128483065928295,0,0,0.2022401150355515,0.31076208006144745,0,0
1271,76,5,lirung,0.3002834415214933,0.6290339357230578,0,0,0.39704705223472736,0.43394991680563894,0,0
1272,77,5,lirung,0.3002834415214933,0.66752879201194,0,0,0.5548112307497535,0.5357066823285545,0,0
1273,78,5,lirung,0.3002834415214933,0.7044249272776405,0,0,0.6432419751801426,0.6062549213386328,0,0
1274,79,5,lirung,0.3002834415214933,0.6826079653882148,0,0,0.6645189981723381,0.6138268293536666,0,0
1275,80,5,lirung,0.3002834415214933,0.5166193897478978,0,0,0.5777620350238335,0.5522218053096917,0,0
1276,81,5,lirung,0.3002834415214933,0.35293969661053126,0,0,0.44285735429803696,0.43482220201852445,0,0
